Category,Key,English,Bulgarian,Notes
,t18,When moved in combat,Когато се движи в битка,
,t19,On Scratch,При драскане,
,t20,For each empty space [to the right],За всяко празно място [надясно],
,t21,For each empty space [below],За всяко празно мяасто [надолу],
,t22,For each empty space [to the left],За всяко празно мяасто [наляво],
,t23,For each empty space [above],За всяко празно място [нагоре],
,t24,For each adjacent structure,За всяка съседна сграда,
,t25,For each adjacent or diagonal structure,За всяка съседна и диагонална сграда,
,t26,When armor or a shield is present,Когато има броня или щит,
,t27,For each space below,За всяко място надолу,
,t28,When an item in this column is destroyed,Когато предмет в тази колон се унищожи,
,t29,When an adjacent item is destroyed,Когато съседен предмет се унищожи,
,t29b,When an adjacent or diagonal item is destroyed,Когато съседен или диагонален предмет се унищожи,
,t30,For each space above this,За всяко място нагоре,
,t30b,"If this is not in the top row,","Ако е в най-горния ред,",
,t31,When an adjacent weapon is used,Когато се използва съседно оръжие,
,t32,If there is an item two spaces away,Ако има предмет на разстояние 2,
,t33,For each adjacent or diagonal Curse,За всяко съседно или диагонално Проклятие,
,t34,When a Wand kills an enemy,Когато магическа пръчка убие противник,
,t35,If there is an adjacent weapon,Ако има съседно оръжие,
,t36,For each connected Manastone,За всеки свързан Камък Мана,
,t37,For each adjacent curse,За всяко съседно Проклятие,
,t38,For each adjacent or diagonal Fish,За всяка съседна или диагонална Риба,
,t39,When an arrow (to the right) kills a non-summon enemy,Когато стрела [надясно] убие не-призован противник,
,t40,When an arrow (below) kills a non-summon enemy,Когато стрела [надолу] убие не-призован противник,
,t41,When an arrow (to the left) kills a non-summon enemy,Когато стрела [наляво] убие не-призован противник,
,t42,When an arrow (above) kills a non-summon enemy,Когато стрела [нагоре] убие не-призован противник,
,t43,When an arrow [to the right] kills an enemy,Когато стрела [надясно] убие противник,
,t44,When an arrow [below] kills an enemy,Когато стрела [надолу] убие противник,
,t45,When an arrow [to the left] kills an enemy,When an arrow [наляво] убие противник,
,t46,When an arrow [above] kills an enemy,When an arrow [нагоре] убие противник,
,t47,If there is a space above this,Ако има място нагоре,
,t48,For each adjacent or diagonal key,За всеки съседен или диагонален ключ,
,t49,If there is a space above this,Ако има място нагоре,
,t50,For each space above this,За всяко място нагоре,
,t51,For each space to the right,За всяко място надясно,
,t52,For each space to the left,За всяко мяасто наляво,
,t53,For each adjacent item,За всеки съседен предмет,
,t53s,If there is an adjacent item,Ако има съседен предмет,
,t54,For each adjacent empty space,За всяко съседно празно мяасто,
,t55,For each adjacent item,За всеки съседен предмет,
,t56,When a weapon is used,Когато се използва оръжие,
,t57,For each adjacent or diagonal consumable,За всеки съседен и диагонален консуматив,
,t58,Each turn for each adjacent gem,"Всеки ход, за всеки съседен скъпоценен камък",
,t59,When a weapon kills an enemy,Когато оръжие убие противник,
,t60,When an adjacent weapon is used,Когато се използва съседно оръжие,
,t61,When an adjacent or diagonal item is present,Когато има съседен или диагонален предмет,
,t62,For each adjacent accessory,За всеки съседен аксесоар,
,t63,For each adjacent gem,За всеки съседен скъпоценен камък,
,t64,If adjacent to any item,Ако е съседен до предмет,
,t65,If adjacent or diagonal to any item,Ако се съседен или диагонален на предмет,
,t66,If adjacent or diagonal to armor or a shield,Ако е съседен или диагонален на броня или щит,
,t67,When a diagonal shield is used,Когато диагонален щит се използва,
,t68,For each adjacent or diagonal ring,За всеки съседен или диагонален пръстен,
,e1,Deals /x damage,Прави /x щета,
effects,e2,Hurts! Deals /x damage to self,Боли! Прави /x щета на мен,
,e3,Deals /x damage to all enemies,Прави /x щета на всички противници,
,e4,Deals /x vampirism ,Прави /x вампиризъм,
,e5,Deals /x vampirism to all enemies,Прави /x вампиризъм на всички противници,
,e6,Removes /x% of all block on self,Премахва /x% от блока на себе си,
,e7,Multiplies current block by /x%,Умножава наличния блок с /x%,
,e8,Adds /x block,Добавя /x блок,
,e9,Adds /x block to enemy,Добава /x блок на противник,
,e10,Adds /x block to all enemies,Добавя /x блок на всички противници,
,e11,Removes /x block,Премахва /x блок,
,e12,Removes /x block from enemy,Премахва /x блок от противник,
,e13,Removes /x block from all enemies,Премахва /x блок от всички противници,
,e14,Heals /x HP,Лекува за /x живот,
,e15,Enemy heals /x HP,Лекува противник за /x живот,
,e16,All enemies heal /x HP,Лекува всички противници за /x живот,
,e17,Lose /x HP,Губи /x живот,
,e18,Enemy loses /x HP,Противник губи /x живот,
,e19,All enemies lose /x HP,Всички противници губят /x живот,
,e20,Adds /x energy,Добавя /x Енергия,
,e21,Adds /x Max HP,Добавя /x максимум живот,
,e22,Adds /x Mana to connected Mana network,Добавя /x Мана към свързана мрежа Мана,
,e23,Adds Luck,Добавя Късмет,
,e24,Adds Great Luck,Добавя Голям Късмет,
,e25,Multiplies all status effects on self by /x%,Multiplies all status effects on self by /x%,
,e26,Multiplies all status effects on enemy by /x%,Multiplies all status effects on enemy by /x%,
,e27,Multiplies all status effects on all enemies by /x%,Multiplies all status effects on all enemies by /x%,
,e28,Removes /x% of all status effects on self,Removes /x% of all status effects on self,
,e29,Removes /x% of all status effects on enemy,Removes /x% of all status effects on enemy,
,e30,Removes /x% of all status effects on all enemies,Removes /x% of all status effects on all enemies,
,e31,Adds /x poison to self,Adds /x poison to self,
,e32,Adds /x regen to self,Adds /x regen to self,
,e33,Adds /x spikes to self,Adds /x spikes to self,
,e34,Adds /x haste to self,Adds /x haste to self,
,e35,Adds /x slow to self,Adds /x slow to self,
,e36,Adds /x rage to self,Adds /x rage to self,
,e37,Adds /x weak to self,Adds /x weak to self,
,e38,Adds /x dodge to self,Adds /x dodge to self,
,e39,Adds /x poison to enemy,Adds /x poison to enemy,
,e40,Adds /x regen to enemy,Adds /x regen to enemy,
,e41,Adds /x spikes to enemy,Adds /x spikes to enemy,
,e42,Adds /x haste to enemy,Adds /x haste to enemy,
,e43,Adds /x slow to enemy,Adds /x slow to enemy,
,e44,Adds /x rage to enemy,Adds /x rage to enemy,
,e45,Adds /x weak to enemy,Adds /x weak to enemy,
,e46,Adds /x dodge to enemy,Adds /x dodge to enemy,
,e47,Adds /x poison to all enemies,Adds /x poison to all enemies,
,e48,Adds /x regen to all enemies,Adds /x regen to all enemies,
,e49,Adds /x spikes to all enemies,Adds /x spikes to all enemies,
,e50,Adds /x haste to all enemies,Adds /x haste to all enemies,
,e51,Adds /x slow to all enemies,Adds /x slow to all enemies,
,e52,Adds /x rage to all enemies,Adds /x rage to all enemies,
,e53,Adds /x weak to all enemies,Adds /x weak to all enemies,
,e54,Adds /x dodge to all enemies,Adds /x dodge to all enemies,
,e55,Removes /x poison from self,Removes /x poison from self,
,e56,Removes /x regen from self,Removes /x regen from self,
,e57,Removes /x spikes from self,Removes /x spikes from self,
,e58,Removes /x haste from self,Removes /x haste from self,
,e59,Removes /x slow from self,Removes /x slow from self,
,e60,Removes /x rage from self,Removes /x rage from self,
,e61,Removes /x weak from self,Removes /x weak from self,
,e62,Removes /x dodge from self,Removes /x dodge from self,
,e63,Removes /x poison from enemy,Removes /x poison from enemy,
,e64,Removes /x regen from enemy,Removes /x regen from enemy,
,e65,Removes /x spikes from enemy,Removes /x spikes from enemy,
,e66,Removes /x haste from enemy,Removes /x haste from enemy,
,e67,Removes /x slow from enemy,Removes /x slow from enemy,
,e68,Removes /x rage from enemy,Removes /x rage from enemy,
,e69,Removes /x weak from enemy,Removes /x weak from enemy,
,e70,Removes /x dodge from enemy,Removes /x dodge from enemy,
,e71,Removes /x poison from all enemies,Removes /x poison from all enemies,
,e72,Removes /x regen from all enemies,Removes /x regen from all enemies,
,e73,Removes /x spikes from all enemies,Removes /x spikes from all enemies,
,e74,Removes /x haste from all enemies,Removes /x haste from all enemies,
,e75,Removes /x slow from all enemies,Removes /x slow from all enemies,
,e76,Removes /x rage from all enemies,Removes /x rage from all enemies,
,e77,Removes /x weak from all enemies,Removes /x weak from all enemies,
,e78,Removes /x dodge from all enemies,Removes /x dodge from all enemies,
,e79,Multiplies poison on self by /x%,Multiplies poison on self by /x%,
,e80,Multiplies regen on self by /x%,Multiplies regen on self by /x%,
,e81,Multiplies spikes on self by /x%,Multiplies spikes on self by /x%,
,e82,Multiplies haste to self by /x%,Multiplies haste to self by /x%,
,e83,Multiplies slow to self by /x%,Multiplies slow to self by /x%,
,e84,Multiplies rage to self by /x%,Multiplies rage to self by /x%,
,e85,Multiplies weak to self by /x%,Multiplies weak to self by /x%,
,e86,Multiplies dodge to self by /x%,Multiplies dodge to self by /x%,
,e87,Multiplies poison to enemy by /x%,Multiplies poison to enemy by /x%,
,e88,Multiplies regen to enemy by /x%,Multiplies regen to enemy by /x%,
,e89,Multiplies spikes to enemy by /x%,Multiplies spikes to enemy by /x%,
,e90,Multiplies haste to enemy by /x%,Multiplies haste to enemy by /x%,
,e91,Multiplies slow to enemy by /x%,Multiplies slow to enemy by /x%,
,e92,Multiplies rage to enemy by /x%,Multiplies rage to enemy by /x%,
,e93,Multiplies weak to enemy by /x%,Multiplies weak to enemy by /x%,
,e94,Multiplies dodge to enemy by /x%,Multiplies dodge to enemy by /x%,
,e95,Multiplies poison to all enemeies by /x%,Multiplies poison to all enemeies by /x%,
,e96,Multiplies regen to all enemies by /x%,Multiplies regen to all enemies by /x%,
,e97,Multiplies spikes to all enemies by /x%,Multiplies spikes to all enemies by /x%,
,e98,Multiplies haste to all enemies by /x%,Multiplies haste to all enemies by /x%,
,e99,Multiplies slow to all enemies by /x%,Multiplies slow to all enemies by /x%,
,e100,Multiplies rage to all enemies by /x%,Multiplies rage to all enemies by /x%,
,e101,Multiplies weak to all enemies by /x%,Multiplies weak to all enemies by /x%,
,e102,Multiplies dodge to all enemies by /x%,Multiplies dodge to all enemies by /x%,
,e103,Removes /x% poison from self,Removes /x% poison from self,
,e104,Removes /x% regen from self,Removes /x% regen from self,
,e105,Removes /x% spikes from self,Removes /x% spikes from self,
,e106,Removes /x% haste from self,Removes /x% haste from self,
,e107,Removes /x% slow from self,Removes /x% slow from self,
,e108,Removes /x% rage from self,Removes /x% rage from self,
,e109,Removes /x% weak from self,Removes /x% weak from self,
,e110,Removes /x% dodge from self,Removes /x% dodge from self,
,e111,Removes /x% poison from enemy,Removes /x% poison from enemy,
,e112,Removes /x% regen from enemy,Removes /x% regen from enemy,
,e113,Removes /x% spikes from enemy,Removes /x% spikes from enemy,
,e114,Removes /x% haste from enemy,Removes /x% haste from enemy,
,e115,Removes /x% slow from enemy,Removes /x% slow from enemy,
,e116,Removes /x% rage from enemy,Removes /x% rage from enemy,
,e117,Removes /x% weak from enemy,Removes /x% weak from enemy,
,e118,Removes /x% dodge from enemy,Removes /x% dodge from enemy,
,e119,Removes /x% poison from all enemies,Removes /x% poison from all enemies,
,e120,Removes /x% regen from all enemies,Removes /x% regen from all enemies,
,e121,Removes /x% spikes from all enemies,Removes /x% spikes from all enemies,
,e122,Removes /x% haste from all enemies,Removes /x% haste from all enemies,
,e123,Removes /x% slow from all enemies,Removes /x% slow from all enemies,
,e124,Removes /x% rage from all enemies,Removes /x% rage from all enemies,
,e125,Removes /x% weak from all enemies,Removes /x% weak from all enemies,
,e126,Removes /x% dodge from all enemies,Removes /x% dodge from all enemies,
,e127,Adds /x damage to Scratch,Adds /x damage to Scratch,
create effects,ceg,Creates /x gold,Creates /x gold,
,cec,Creates a curse,Creates a curse,
,ce1,Creates an Ethereal Arrow in this column,Creates an Ethereal Arrow in this column,
,ce2,Creates an Ethereal Shiv in this row,Creates an Ethereal Shiv in this row,
,ce3,Creates Ethereal Energy in this column,Creates Ethereal Energy in this column,
,ce4,Creates a fish in an adjacent space,Creates a fish in an adjacent space,
,ce5,Creates any item,Creates any item,
,ce6,Creates /x gold,Creates /x gold,
,ce7,Creates a drink in this row,Creates a drink in this row,
,ce8,Creates a potion in this row,Creates a potion in this row,
,ce9,Creates an herb in this row,Creates an herb in this row,
,ce10,Creates a gem,Creates a gem,
,ce11,Another Slime Sword will be created at the end of combat,Another Slime Sword will be created at the end of combat,
,ce12,Creates something really good… or a horrible curse,Creates something really good… or a horrible curse,
,ce13,Replaced by an Ethereal Blade,Replaced by an Ethereal Blade,
,ce14,Replaced by Blade Summoner,Replaced by Blade Summoner,
,ce15,Replaced with an Empty Cup,Replaced with an Empty Cup,
Movement effects,me1,turns clockwise,turns clockwise,
,me2,turns around,turns around,
,me3,turns counter-clockwise,turns counter-clockwise,
,me4,moves forward until stopped,moves forward until stopped,
,me5,moves forward one space,moves forward one space,
,me6,moves up one space,moves up one space,
Add Modifiers,,,,
,amApplied,From /x,From /x,e.g. From Shield Spirit
,am1,All weapons get this effect applied,All weapons get this effect applied,
,am2,All shields get this effect applied,All shields get this effect applied,
,am3,All wands get this effect applied,All wands get this effect applied,
,am4,All bows get this effect applied,All bows get this effect applied,
,am5,All arrows get this effect applied,All arrows get this effect applied,
,,,,
item status effects,is1,This item is disabled,This item is disabled,
,is2,This item is a projectile,This item is a projectile,
,is3,This item is anchored,This item is anchored,
,is4,This item is enflamed,This item is enflamed,
,is5,Conductive,Conductive,
,is6,This item is heavy,This item is heavy,
,is7,This item floats,This item floats,
,efm,Multiplier Total,Multiplier Total,
effect,base,Base,Base,
,m1,This item gets permanent /x damage,This item gets permanent /x damage,
modifiers,m2,This item is destroyed,This item is destroyed,
,m3,Adjacent curses are destroyed,Adjacent curses are destroyed,
,m4,This item gets /x damage to enemy,This item gets /x damage to enemy,
,m5,This item gets /x damage to self,This item gets /x damage to self,
,m6,This item gets /x damage,This item gets /x damage,
,m7,This item gets /x% bonus damage,This item gets /x% bonus damage,
,m8,This item gets /x block,This item gets /x block,
,m9,This item gets /x block this combat,This item gets /x block this combat,
,m10,This item gets /x energy,This item gets /x energy,
,m11,Adjacent armor gets /x block,Adjacent armor gets /x block,
,m12,Adjacent weapons get /x damage,Adjacent weapons get /x damage,
,m13,Weapons in this row get /x damage,Weapons in this row get /x damage,
,m14,Cleavers below get /x% bonus damage,Cleavers below get /x% bonus damage,
,m15,Fires the first arrow in each [row to the right],Fires the first arrow in each [row to the right],
,m16,Fires the first arrow in each [column below],Fires the first arrow in each [column below],
,m17,Fires the first arrow in each [row to the left],Fires the first arrow in each [row to the left],
,m18,Fires the first arrow in each [column above],Fires the first arrow in each [column above],
,m19,Fires all arrows in each [row to the right],Fires all arrows in each [row to the right],
,m20,Fires all arrows in each [column below],Fires all arrows in each [column below],
,m21,Fires all arrows in each [row to the left],Fires all arrows in each [row to the left],
,m22,Fires all arrows in each [column above],Fires all arrows in each [column above],
,m23,Adjacent and diagonal structures become conductive,Adjacent and diagonal structures become conductive,
,m24,This item is refreshed and can be used again this combat,This item is refreshed and can be used again this combat,
,m25,Items in this row are refreshed and can be used again this turn,Items in this row are refreshed and can be used again this turn,
,m26,selected adjacent Weapons get /x% bonus damage this combat,selected adjacent Weapons get /x% bonus damage this combat,
,m27,All weapons get /x% bonus damage,All weapons get /x% bonus damage,
,m28,The first arrow in each [row to the right] gets /x% bonus damage,The first arrow in each [row to the right] gets /x% bonus damage,
,m29,The first arrow in each [column below] gets /x% bonus damage,The first arrow in each [column below] gets /x% bonus damage,
,m30,The first arrow in each [row to the left] gets /x% bonus damage,The first arrow in each [row to the left] gets /x% bonus damage,
,m31,The first arrow in each [column above] gets /x% bonus damage,The first arrow in each [column above] gets /x% bonus damage,
,m32,This item is disabled,This item is disabled,
,m33,All consumables get /x% bonus healing,All consumables get /x% bonus healing,
,m34,All weapons get /x damage,All weapons get /x damage,
,m35,All adjacent weapons are used,All adjacent weapons are used,
,m36,All adjacent cleavers are used,All adjacent cleavers are used,
,m37,The [above] cleaver is used,The [above] cleaver is used,
,m38,The [right] cleaver is used,The [right] cleaver is used,
,m39,The cleaver [below] is used,The cleaver [below] is used,
,m40,The [left] cleaver is used,The [left] cleaver is used,
,m41,All connected weapons get /x% bonus damage,All connected weapons get /x% bonus damage,
,m42,All consumables get /x rage,All consumables get /x rage,
,m43,Adjacent weapons get /x damage this combat,Adjacent weapons get /x damage this combat,
,m44,Adjacent weapons get /x damage this turn,Adjacent weapons get /x damage this turn,
,m45,Adjacent and diagonal weapons get /x damage,Adjacent and diagonal weapons get /x damage,
,m46,This gets /x damage this turn,This gets /x damage this turn,
,m47,This gets /x damage this combat,This gets /x damage this combat,
,m48,This item is disabled for /y turns,This item is disabled for /y turns,
,m49,This item is anchored for /y combats,This item is anchored for /y combats,
,m50,Adjacent and diagonal armor gets /x block,Adjacent and diagonal armor gets /x block,
,m51,This item is disabled for the rest of this combat,This item is disabled for the rest of this combat,
,m52,This item is disabled for /y combats,This item is disabled for /y combats,
,m53,Adjacent helmets get /x block,Adjacent helmets get /x block,
,m54,Adjacent footwear gets /x block,Adjacent footwear gets /x block,
,m55,This item is used,This item is used,
,m56,Arrows to the [right] get /x% bonus damage,Arrows to the [right] get /x% bonus damage,
,m57,Arrows to the [left] get /x% bonus damage,Arrows to the [left] get /x% bonus damage,
,m58,Arrows [below] get /x% bonus damage,Arrows [below] get /x% bonus damage,
,m59,Arrows [above] get /x% bonus damage,Arrows [above] get /x% bonus damage,
,m60,Connected weapons get /x damage,Connected weapons get /x damage,
,m61,Adjacent and diagonal shields get /x block,Adjacent and diagonal shields get /x block,
,m62,The first arrow in each [row to the right] gets /x damage,The first arrow in each [row to the right] gets /x damage,
,m63,The first arrow in each [row to the left] gets /x damage,The first arrow in each [row to the left] gets /x damage,
,m64,The first arrow in each [column below] gets /x damage,The first arrow in each [column below] gets /x damage,
,m65,The first arrow in each [column above] gets /x damage,The first arrow in each [column above] gets /x damage,
,m66,Armor to the left gets /x block,Armor to the left gets /x block,
,m67,Weapons in this column get /x damage,Weapons in this column get /x damage,
,m68,Adjacent and diagonal weapons get /x poison to self,Adjacent and diagonal weapons get /x poison to self,
,m69,Weapons in this row or column get /x damage,Weapons in this row or column get /x damage,
,m69c,Weapons in this row or column get /x damage this combat,Weapons in this row or column get /x damage this combat,
,m70,Adjacent and diagonal weapons get /x damage this combat,Adjacent and diagonal weapons get /x damage this combat,
,m71,This gets /x spikes to self this turn,This gets /x spikes to self this turn,
,m72,All shields get /x spikes to self,All shields get /x spikes to self,
,m73,All diagonal cleavers are used,All diagonal cleavers are used,
,m74,Adjacent and diagonal cleavers get /x damage,Adjacent and diagonal cleavers get /x damage,
,m75,The cleaver [above] gets used,The cleaver [above] gets used,
,m76,The cleaver [to the right] gets used,The cleaver [to the right] gets used,
,m77,The cleaver [below] gets used,The cleaver [below] gets used,
,m78,The cleaver [to the left] gets used,The cleaver [to the left] gets used,
,m79,Adjacent shields get used,Adjacent shields get used,
,m80,Adjacent weapons get /x healing,Adjacent weapons get /x healing,
,m81,Weapons in this column get /x% bonus damage,Weapons in this column get /x% bonus damage,
,m82,Weapons in this row get /x weak this combat,Weapons in this row get /x weak this combat,
,m83,Select an adjacent weapon to permanently get /x% bonus damage,Select an adjacent weapon to permanently get /x% bonus damage,
,m84,Adjacent and diagonal weapons get /x damage,Adjacent and diagonal weapons get /x damage,
,m85,Adjacent weapons get /x% bonus damage,Adjacent weapons get /x% bonus damage,
,m86,Adjacent weapon [below] gets /x damage,Adjacent weapon [below] gets /x damage,
,m87,Adjacent weapon [to the left] gets /x damage,Adjacent weapon [to the left] gets /x damage,
,m88,Adjacent weapon [above] gets /x damage,Adjacent weapon [above] gets /x damage,
,m89,Adjacent weapon [right] gets /x damage,Adjacent weapon [right] gets /x damage,
,m90,Weapons in this row get /x poison this combat,Weapons in this row get /x poison this combat,
,m91,Adjacent and diagonal consumables are destroyed,Adjacent and diagonal consumables are destroyed,
,m92,Adjacent weapons get /x poison,Adjacent weapons get /x poison,
,m93,Weapons two spaces away get /x damage,Weapons two spaces away get /x damage,
,m94,All weapons remove /x from all status effects from all enemies,All weapons remove /x from all status effects from all enemies,
,m95,scratch deals /x Damage,scratch deals /x Damage,
,m96,Helmets to the right are disabled,Helmets to the right are disabled,
,m97,Shields get /x spikes to self,Shields get /x spikes to self,
,m98,Footwears to the right are disabled,Footwears to the right are disabled,
,m99,structures beneath this get /x block,structures beneath this get /x block,
,m100,This gets /x to poison,This gets /x to poison,
,m101,Adjacent shields get /x spikes to self,Adjacent shields get /x spikes to self,
modifier names,kill,kill,kill,
,nearby accessory,nearby accessory,nearby accessory,
,open space,open space,open space,
,empty space,empty space,empty space,
,space above,space above,space above,
,other helmet,other helmet,other helmet,
,connected manastone,connected manastone,connected manastone,
,other shoes,other shoes,other shoes,
,position,position,position,
items,ACIDIC POTION,ACIDIC POTION,ACIDIC POTION,
,AMETHYST,AMETHYST,AMETHYST,
,ANCIENT TOME,ANCIENT TOME,ANCIENT TOME,
,ANCIENT TOME2,Ancient spells are written in the margins of this recipe book,Ancient spells are written in the margins of this recipe book,
,ANGLER FISH,ANGLER FISH,ANGLER FISH,
,ARCHANGEL ARMOR,ARCHANGEL ARMOR,ARCHANGEL ARMOR,
,ARCHER'S WAND,ARCHER'S WAND,ARCHER'S WAND,
,ARCHER'S WAND2,Frog wizards created this item,Frog wizards created this item,
,,,,
,ASSASSIN'S DAGGER,ASSASSIN'S DAGGER,ASSASSIN'S DAGGER,
,BALLOON,BALLOON,BALLOON,
,BANDAGES,BANDAGES,BANDAGES,
,BERSERKER'S CLUB,BERSERKER'S CLUB,BERSERKER'S CLUB,
,BESERKER'S RING,BESERKER'S RING,BESERKER'S RING,
,BIG FIN,BIG FIN,BIG FIN,
,BLADE SUMMONER,BLADE SUMMONER,BLADE SUMMONER,
,BLUEFIN,BLUEFIN,BLUEFIN,
,BRAMBLE,BRAMBLE,BRAMBLE,
,BRAMBLE2,Poison oozes from these thick brambles,Poison oozes from these thick brambles,
,Brass Knuckles,Brass Knuckles,Brass Knuckles,
,BRICK,BRICK,BRICK,
,BRICKWALL,BRICKWALL,BRICKWALL,
,BROKEN RING,BROKEN RING,BROKEN RING,
,BROKEN RING2,Ancient magicians found protection with this ring on hand,Ancient magicians found protection with this ring on hand,
,BRONZE BREASTPLATE,BRONZE BREASTPLATE,BRONZE BREASTPLATE,
,BRUTAL SPEAR,BRUTAL SPEAR,BRUTAL SPEAR,
,BUBBLE,BUBBLE,BUBBLE,
,CACTUS,CACTUS,CACTUS,
,CAP,CAP,CAP,
,CAULDRON,CAULDRON,CAULDRON,
,CAVE FISH,CAVE FISH,CAVE FISH,
,CAVE SHARK,CAVE SHARK,CAVE SHARK,
,CHAINMAIL,CHAINMAIL,CHAINMAIL,
,CHARMED BRACELET,CHARMED BRACELET,CHARMED BRACELET,
,CHARMED BRACELET2,Exchange your lifeforce to remove a curse,Exchange your lifeforce to remove a curse,
,CHEF'S HAT,CHEF'S HAT,CHEF'S HAT,
,CITRINE,CITRINE,CITRINE,
,CLEANSING BOMB,CLEANSING BOMB,CLEANSING BOMB,
,CLEANSING POTION,CLEANSING POTION,CLEANSING POTION,
,CLEANSING RAG,CLEANSING RAG,CLEANSING RAG,
,CLEANSING WAND,CLEANSING WAND,CLEANSING WAND,
,CLEANSING WAND2,I think this wand used to be a broom!,I think this wand used to be a broom!,Cleaver is already indicated by the type
,,,,
,CLUB,CLUB,CLUB,
,COAL,COAL,COAL,
,COMPOSITE BOW,COMPOSITE BOW,COMPOSITE BOW,
,COMPOSITE BOW2,For the smallest of rodents,For the smallest of rodents,
,CONDUIT,CONDUIT,CONDUIT,
,COOL DRINK,COOL DRINK,COOL DRINK,
,CRIMSON ENERGY,CRIMSON ENERGY,CRIMSON ENERGY,
,CROOKED ARROW,CROOKED ARROW,CROOKED ARROW,
,CROSSBOW,CROSSBOW,CROSSBOW,
,CROSSBOW2,squirrels prefer the light weight of crossbows,squirrels prefer the light weight of crossbows,
,CURSED BLADE,CURSED BLADE,CURSED BLADE,
,CURSED BLADE2,Many have tried to wield this sword - none have succeeded,Many have tried to wield this sword - none have succeeded,
,CURSED SHIV,CURSED SHIV,CURSED SHIV,
,CURSED SHIV2,Unspeakably cursed,Unspeakably cursed,
,CURSED WHETSTONE,CURSED WHETSTONE,CURSED WHETSTONE,
,DAGGER,DAGGER,DAGGER,
,DAMAGED KNIFE,DAMAGED KNIFE,DAMAGED KNIFE,
,DARK HEADBAND,DARK HEADBAND,DARK HEADBAND,
,DARK WHETSTONE,DARK WHETSTONE,DARK WHETSTONE,
,DART,DART,DART,
,DEBUFF POTION,DEBUFF POTION,DEBUFF POTION,
,DIAMOND,DIAMOND,DIAMOND,
,DISGUSTING FOOD,DISGUSTING FOOD,DISGUSTING FOOD,
,DODGE POTION,DODGE POTION,DODGE POTION,
,DOUBLE HALBERD,DOUBLE HALBERD,DOUBLE HALBERD,
,DOUBLE POISON POTION,DOUBLE POISON POTION,DOUBLE POISON POTION,
,DRAGONFLY,DRAGONFLY,DRAGONFLY,
,DUCT TAPE,DUCT TAPE,DUCT TAPE,
,DUCT TAPE2,All effects applied to this are passed to adjacent items,All effects applied to this are passed to adjacent items,
,DUELING SWORD,DUELING SWORD,DUELING SWORD,
,EARTHSTONE BLADE,EARTHSTONE BLADE,EARTHSTONE BLADE,
,ELECTRIC ARROW,ELECTRIC ARROW,ELECTRIC ARROW,
,ELECTRIC STONE,ELECTRIC STONE,ELECTRIC STONE,
,ELECTRIC WAND,ELECTRIC WAND,ELECTRIC WAND,
,EMERALD BRACELET,EMERALD BRACELET,EMERALD BRACELET,
,EMERALD,EMERALD,EMERALD,
,EMPTY CUP,EMPTY CUP,EMPTY CUP,
,ETHEREAL STAFF,ETHEREAL STAFF,ETHEREAL STAFF,
,ETHEREAL WAND,ETHEREAL WAND,ETHEREAL WAND,
,ETHEREAL WAND2,A wand capable of summoning energy from beyond our realm,A wand capable of summoning energy from beyond our realm,
,ETHEREAL WHETSTONE,ETHEREAL WHETSTONE,ETHEREAL WHETSTONE,
,EXPERT BOW,EXPERT BOW,EXPERT BOW,
,EXPLOSIVE ARROW,EXPLOSIVE ARROW,EXPLOSIVE ARROW,
,FEATHER CAP,FEATHER CAP,FEATHER CAP,
,FISH SWORD,FISH SWORD,FISH SWORD,
,FISH SWORD2,"This thing does not smell good. Seriously, wow.","This thing does not smell good. Seriously, wow.",
,FISHING HOOK,FISHING HOOK,FISHING HOOK,
,FISHING HOOK2,Fishing while you work!,Fishing while you work!,
,FLOWER,FLOWER,FLOWER,
,FROTHY DRINK,FROTHY DRINK,FROTHY DRINK,
,GEMSTONE HEART,GEMSTONE HEART,GEMSTONE HEART,
,GLITCHED POTION,GLITCHED POTION,GLITCHED POTION,
,GLOVE OF KNIVES,GLOVE OF KNIVES,GLOVE OF KNIVES,
,GLOVE OF KNIVES2,Try it on for size,Try it on for size,
,GOLD CLEAVER,GOLD CLEAVER,GOLD CLEAVER,
,GOLDEN BOW,GOLDEN BOW,GOLDEN BOW,
,GOLDEN BOW2,Due to their small sizes squirrels and mice often opt for archery rather than brute strength,Due to their small sizes squirrels and mice often opt for archery rather than brute strength,
,GOLDEN SHIV,GOLDEN SHIV,GOLDEN SHIV,
,GOLDEN SHIV2,We've been turning blood to gold for centuries!,We've been turning blood to gold for centuries!,
,GOLDEN WHETSTONE,GOLDEN WHETSTONE,GOLDEN WHETSTONE,
,GUARDIAN RING,GUARDIAN RING,GUARDIAN RING,
,GUARDING BAND,GUARDING BAND,GUARDING BAND,
,GUPPY,GUPPY,GUPPY,
,HATCHET,HATCHET,HATCHET,
,HAWKEYE'S BOW,HAWKEYE'S BOW,HAWKEYE'S BOW,
,HAWKEYE'S BOW2,One of the greatest archers in the ranks of the patrol was Hawkeye Mirabelle. She once shot down two hawks while hanging upside down from a tree,One of the greatest archers in the ranks of the patrol was Hawkeye Mirabelle. She once shot down two hawks while hanging upside down from a tree,
,HEART RING,HEART RING,HEART RING,
,HEAVY BLADE,HEAVY BLADE,HEAVY BLADE,
,HERB,HERB,HERB,
,HERCULE PAVISE,HERCULE PAVISE,HERCULE PAVISE,
